domain,protocol,repeat,doc_id,expected_version,expected_epoch,dense_versions,sparse_versions,stale,future,mixed,missing,answer_error,update_window,latency_ms
flask,weaviate_naive,0,41,1,0,1,1,0,0,0,0,0,1,4.6297963708639145
flask,weaviate_naive,0,42,1,0,1,1,0,0,0,0,0,1,2.991391345858574
flask,weaviate_naive,0,13,2,2,,2,0,0,0,1,1,1,12.89744395762682
flask,weaviate_naive,0,47,2,5,1,1,1,0,0,1,1,1,14.813072048127651
flask,weaviate_naive,0,46,1,0,1,1,0,0,0,0,0,1,16.09466504305601
flask,weaviate_naive,0,44,2,5,1,1,1,0,0,1,1,1,25.275017134845257
flask,weaviate_naive,0,46,2,5,1,1,1,0,0,1,1,1,10.698466561734676
flask,weaviate_naive,0,48,2,5,1,1,1,0,0,1,1,1,20.965957082808018
flask,weaviate_naive,0,40,2,5,1,1,1,0,0,1,1,1,26.510237716138363
flask,weaviate_naive,0,48,2,5,1,1,1,0,0,1,1,1,11.940943077206612
flask,weaviate_naive,0,49,2,5,1,1,1,0,0,1,1,1,7.612017914652824
flask,weaviate_naive,0,46,2,5,1,1,1,0,0,1,1,1,12.951420620083809
flask,weaviate_naive,0,41,2,5,1,1,1,0,0,1,1,1,18.075281754136086
flask,weaviate_naive,0,40,2,5,1,1,1,0,0,1,1,1,23.486369289457798
flask,weaviate_naive,0,46,2,5,1,1,1,0,0,1,1,1,19.5622555911541
flask,weaviate_naive,0,42,2,5,1,1,1,0,0,1,1,1,21.144994534552097
flask,weaviate_naive,0,48,2,5,1,1,1,0,0,1,1,1,8.22160392999649
flask,weaviate_naive,0,44,2,5,1,1,1,0,0,1,1,1,8.098531514406204
flask,weaviate_naive,0,6,2,1,,2,0,0,0,1,1,1,5.453296937048435
flask,weaviate_naive,0,46,2,5,1,1,1,0,0,1,1,1,8.264637552201748
flask,weaviate_naive,0,43,2,5,1,1,1,0,0,1,1,1,6.393288262188435
flask,weaviate_naive,0,46,2,5,1,1,1,0,0,1,1,1,6.5620215609669685
flask,weaviate_naive,0,41,2,5,1,1,1,0,0,1,1,1,8.902546018362045
flask,weaviate_naive,0,46,2,5,1,1,1,0,0,1,1,1,11.139084585011005
flask,weaviate_naive,0,42,2,5,1,1,1,0,0,1,1,1,11.506269685924053
flask,weaviate_naive,0,41,2,5,1,1,1,0,0,1,1,1,11.230996809899807
flask,weaviate_naive,0,48,2,5,1,1,1,0,0,1,1,1,7.525821216404438
flask,weaviate_naive,0,45,2,5,1,1,1,0,0,1,1,1,6.687907502055168
flask,weaviate_naive,0,49,2,5,1,1,1,0,0,1,1,1,4.7378214076161385
flask,weaviate_naive,0,42,2,5,1,1,1,0,0,1,1,1,7.137906737625599
flask,weaviate_naive,0,44,2,5,1,1,1,0,0,1,1,1,8.301317691802979
flask,weaviate_naive,0,42,2,5,1,1,1,0,0,1,1,1,4.944811575114727
