dataset,model,scoring,strategy,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
uca,qwen25vl_7b,semantic,B1_bm25_only,0.0015203504254599,0.2,0.0037252504405789,0.3407407407407407,0.0079105659266861,0.4888888888888889,0.0160633731788112,0.7333333333333333,0.2744685823709991,0.1388971248506062
uca,qwen25vl_7b,strict,B2_vector_only,0.0008622928041119,0.0444444444444444,0.0051679564759413,0.2,0.0124874676766545,0.3333333333333333,0.0238234528886161,0.4962962962962963,0.1369479971271951,0.0599801627059712
uca,qwen25vl_7b,semantic,B2_vector_only,0.0007700007700007,0.2074074074074074,0.0056875173020648,0.6962962962962963,0.0124686203850624,0.8222222222222222,0.0235418945165851,0.925925925925926,0.4342531596154784,0.2504120746472533
uca,qwen25vl_7b,strict,B3_vector_postfilter,0.0080055933864134,0.2222222222222222,0.030600058033225,0.5555555555555556,0.0568544859916667,0.7333333333333333,0.0858079418567761,0.8074074074074075,0.3760019368007778,0.2004533356682594
uca,qwen25vl_7b,semantic,B3_vector_postfilter,0.0010838401796247,0.2222222222222222,0.0053425846063603,0.5555555555555556,0.0104775320155089,0.7333333333333333,0.0171326840182843,0.8074074074074075,0.3760019368007778,0.1982186290791077
uca,qwen25vl_7b,strict,B4_prefilter_vector,0.0080055933864134,0.2222222222222222,0.0310733090620316,0.5703703703703704,0.0630076327039211,0.7851851851851852,0.1112300157739088,0.9111111111111112,0.3895990176493207,0.208459082556922
uca,qwen25vl_7b,semantic,B4_prefilter_vector,0.0010838401796247,0.2222222222222222,0.005377249821893,0.5703703703703704,0.0107423171764914,0.7851851851851852,0.0185690101835995,0.9111111111111112,0.3895990176493207,0.2058770521412898
uca,qwen25vl_7b,strict,B5_hybrid,0.0054789726683211,0.2222222222222222,0.0306216973065392,0.5703703703703704,0.0573162047914442,0.6888888888888889,0.1072875653273012,0.8814814814814815,0.3835466049864168,0.1982651119114645
uca,qwen25vl_7b,semantic,B5_hybrid,0.0011524513333137,0.2222222222222222,0.0053696173528577,0.5703703703703704,0.0098626332309904,0.6888888888888889,0.0171709488912828,0.8814814814814815,0.3835466049864168,0.1968679941269143
uca,qwen3vl_8b,strict,B0_metadata_only,0.0026575830677937,0.0814814814814814,0.0095435938136107,0.2444444444444444,0.0179810830751342,0.3777777777777777,0.0430719619219948,0.5777777777777777,0.1825083777034349,0.0661194080069674
uca,qwen3vl_8b,semantic,B0_metadata_only,0.0003218066011908,0.0814814814814814,0.0010863311342087,0.2444444444444444,0.0023834159852327,0.3777777777777777,0.004901722646983,0.5777777777777777,0.1825083777034349,0.0655253689349701
uca,qwen3vl_8b,strict,B1_bm25_only,0.0013552957075433,0.0666666666666666,0.0060038650323664,0.2148148148148148,0.0085281368855886,0.2444444444444444,0.0162028349346533,0.4,0.1467770910039504,0.0499960450564446
uca,qwen3vl_8b,semantic,B1_bm25_only,0.0014849171652709,0.2740740740740741,0.0066780125318263,0.4666666666666667,0.0089458615150038,0.4666666666666667,0.016720817843093,0.8222222222222222,0.3971262471927928,0.1999597204955945
uca,qwen3vl_8b,strict,B2_vector_only,0.0013868543874475,0.0666666666666666,0.0086876433425295,0.237037037037037,0.0142472945343685,0.3185185185185185,0.0265806630721997,0.5037037037037037,0.1503818706612041,0.0546086619412468
uca,qwen3vl_8b,semantic,B2_vector_only,0.0014849171652709,0.2740740740740741,0.0071942309181795,0.5407407407407407,0.011382995896347,0.762962962962963,0.0224023672191037,1.0,0.415462962962963,0.2189682616009622
uca,qwen3vl_8b,strict,B3_vector_postfilter,0.0112900790169417,0.2444444444444444,0.0410893096893314,0.6444444444444445,0.0599421641291805,0.7925925925925926,0.094887267618758,0.8888888888888888,0.4170146466871121,0.2144273071895703
uca,qwen3vl_8b,semantic,B3_vector_postfilter,0.0013477810776799,0.2444444444444444,0.0058381068224609,0.6444444444444445,0.0101460337124069,0.7925925925925926,0.0187409293283594,0.8888888888888888,0.4170146466871121,0.2115324369063455
uca,qwen3vl_8b,strict,B4_prefilter_vector,0.0112900790169417,0.2444444444444444,0.041525039536826,0.6444444444444445,0.064680446354675,0.8222222222222222,0.1215079056182224,0.9407407407407408,0.4233049155756652,0.2222496584673838
uca,qwen3vl_8b,semantic,B4_prefilter_vector,0.0013477810776799,0.2444444444444444,0.0058743288635729,0.6444444444444445,0.0103943236719651,0.8222222222222222,0.0202230164078033,0.9407407407407408,0.4233049155756652,0.219354788184159
uca,qwen3vl_8b,strict,B5_hybrid,0.0066950523101144,0.2148148148148148,0.0357883988163598,0.6370370370370371,0.0668258382767345,0.8222222222222222,0.1158455633900798,0.9333333333333332,0.4090476659036869,0.2225768343219074
uca,qwen3vl_8b,semantic,B5_hybrid,0.001300758146838,0.2148148148148148,0.0058458882918944,0.6370370370370371,0.0107075326645214,0.8222222222222222,0.0195496194788378,0.9333333333333332,0.4090476659036869,0.2198699353600739
uca,qwen35_9b,strict,B0_metadata_only,0.0026575830677937,0.0814814814814814,0.0095435938136107,0.2444444444444444,0.0179810830751342,0.3777777777777777,0.0430719619219948,0.5777777777777777,0.1825083777034349,0.0661194080069674
