pair,kind,selectivity,replicate,method,recall_at_10
hour==06,natural,0.18291,2,postfilter_hnsw_K2x,0.9973
hour==06,natural,0.18291,2,postfilter_hnsw_K4x,0.9974
hour==06,natural,0.18291,2,single_stage_ivf_batch_np8,0.9911
hour==06,natural,0.18291,2,single_stage_ivf_batch_np32,0.9999
hour==06,natural,0.18291,3,postfilter_hnsw_K1x,0.894
hour==06,natural,0.18291,3,postfilter_hnsw_K2x,0.9975
hour==06,natural,0.18291,3,postfilter_hnsw_K4x,0.9975
hour==06,natural,0.18291,3,single_stage_ivf_batch_np8,0.991
hour==06,natural,0.18291,3,single_stage_ivf_batch_np32,0.9995
hour==06,natural,0.18291,4,postfilter_hnsw_K1x,0.897
hour==06,natural,0.18291,4,postfilter_hnsw_K2x,0.9974
hour==06,natural,0.18291,4,postfilter_hnsw_K4x,0.9974
hour==06,natural,0.18291,4,single_stage_ivf_batch_np8,0.9904
hour==06,natural,0.18291,4,single_stage_ivf_batch_np32,0.9996
hour==06,natural,0.18291,5,postfilter_hnsw_K1x,0.8963
hour==06,natural,0.18291,5,postfilter_hnsw_K2x,0.9976
hour==06,natural,0.18291,5,postfilter_hnsw_K4x,0.9978
hour==06,natural,0.18291,5,single_stage_ivf_batch_np8,0.9894
hour==06,natural,0.18291,5,single_stage_ivf_batch_np32,0.9997
hour==07,natural,0.0474,1,postfilter_hnsw_K1x,0.849
hour==07,natural,0.0474,1,postfilter_hnsw_K2x,0.8919
hour==07,natural,0.0474,1,postfilter_hnsw_K4x,0.8919
hour==07,natural,0.0474,1,single_stage_ivf_batch_np8,0.9627
hour==07,natural,0.0474,1,single_stage_ivf_batch_np32,0.9979
hour==07,natural,0.0474,2,postfilter_hnsw_K1x,0.8481
hour==07,natural,0.0474,2,postfilter_hnsw_K2x,0.8895
hour==07,natural,0.0474,2,postfilter_hnsw_K4x,0.8895
hour==07,natural,0.0474,2,single_stage_ivf_batch_np8,0.9619
hour==07,natural,0.0474,2,single_stage_ivf_batch_np32,0.9981
hour==07,natural,0.0474,3,postfilter_hnsw_K1x,0.8391
hour==07,natural,0.0474,3,postfilter_hnsw_K2x,0.8839
hour==07,natural,0.0474,3,postfilter_hnsw_K4x,0.8839
hour==07,natural,0.0474,3,single_stage_ivf_batch_np8,0.9647
hour==07,natural,0.0474,3,single_stage_ivf_batch_np32,0.9981
hour==07,natural,0.0474,4,postfilter_hnsw_K1x,0.8406
hour==07,natural,0.0474,4,postfilter_hnsw_K2x,0.8897
hour==07,natural,0.0474,4,postfilter_hnsw_K4x,0.8897
hour==07,natural,0.0474,4,single_stage_ivf_batch_np8,0.9616
hour==07,natural,0.0474,4,single_stage_ivf_batch_np32,0.9971
hour==07,natural,0.0474,5,postfilter_hnsw_K1x,0.839
hour==07,natural,0.0474,5,postfilter_hnsw_K2x,0.8848
hour==07,natural,0.0474,5,postfilter_hnsw_K4x,0.8848
hour==07,natural,0.0474,5,single_stage_ivf_batch_np8,0.9587
hour==07,natural,0.0474,5,single_stage_ivf_batch_np32,0.9973
hour==08,natural,0.02978,1,postfilter_hnsw_K1x,0.7652
hour==08,natural,0.02978,1,postfilter_hnsw_K2x,0.7735
hour==08,natural,0.02978,1,postfilter_hnsw_K4x,0.7735
hour==08,natural,0.02978,1,single_stage_ivf_batch_np8,0.931
hour==08,natural,0.02978,1,single_stage_ivf_batch_np32,0.9963
hour==08,natural,0.02978,2,postfilter_hnsw_K1x,0.7529
hour==08,natural,0.02978,2,postfilter_hnsw_K2x,0.7604
hour==08,natural,0.02978,2,postfilter_hnsw_K4x,0.7604
