replicate,dose,relevance_def,population_edges,selected_edges,selected_clip_ids_sha256
37,0.25,stopped_vehicles,636,159,f16c84237ffeb737b6cd661d46d7003b1f30a68d2897cb407b92dcecd1adb581
37,0.25,two_plus_bikes,345,86,ff405572d2a91193026072f7bd3ec0dd9d2f51e9c86378db08bbb1dfe540bfc4
38,0.25,parked_vehicle,69,17,65235b44c39c105f0d17034062e87c97fc50344044ebe779c84bd830dab727e9
38,0.25,dense_frame,70,17,7f725f74f5390bef715ccfee9e5f5c7a93acf190fe6c1fb480aee1a626ac4c5c
38,0.25,multiple_buses,247,61,2a1e2a1a1ce05718a00b5bd2693addb40b66d444006ea2bafa45801a5f34dc5e
38,0.25,stopped_vehicles,636,159,dd477c01c7bd2fa560eda6292ef05007311b3fd918f58daac126809daef6c0ce
38,0.25,two_plus_bikes,345,86,774166969b1fcef1f600d5bd0803bf5bc6befa7c5217b83d91597f75a889b569
39,0.25,parked_vehicle,69,17,5b3e0fcfe72f47324c3f9dfb56abe0ce4df2b8f21f2d0ac31bb57f044dd0c25b
39,0.25,dense_frame,70,17,e91b87c87a6104e006461a4e17eff954787f9f49c1165f6d94a842c9685ed0e7
39,0.25,multiple_buses,247,61,acc70d68ae23c4baecf860bc05bda23e9c03dcaf881d79fd807dc603802a4fdb
39,0.25,stopped_vehicles,636,159,1361492ce9edc8ef8529d85041dc6dba01ebdbfa566dcf507d4dcdd9950aa95d
39,0.25,two_plus_bikes,345,86,8cf23d478870bdc2efa2d5650ac6cf8ad3ae101252a6646a4f2e9e57672da92b
40,0.25,parked_vehicle,69,17,f205aacd9a626372ab04e3c9c68d0f885b33f38eb8663c10f5b6c3808d0d1930
40,0.25,dense_frame,70,17,761fb1d0eca2387fc43e4d68b12deb0699b1f78f1fc4d586c7a079fe5cfbf597
40,0.25,multiple_buses,247,61,5330feb0d127d61f67e05d4f8cccc7d466809dae6acb33c4d4950118ae4ed6f3
40,0.25,stopped_vehicles,636,159,a354a5744e62344fcd8d1bc993682d6b54389bf714f82570136e98fe14217f87
40,0.25,two_plus_bikes,345,86,4215618372e6008ab7fe75dc0814b37e19f394096e93856ba7dde6fc335714f6
41,0.25,parked_vehicle,69,17,58baf73309d824bb0a68c987f48e967ab1122eed0b1400447fced4fe882ec7c7
41,0.25,dense_frame,70,17,0c5b5ef44bfefbad7fbd99dab3bba7799e0063661d1d51dc4fb4e74cf2735156
41,0.25,multiple_buses,247,61,9f7e08180df7a3bbc0a0b2a9eb872b0e9b775b77ec9f8436ce16a7d18412edaf
41,0.25,stopped_vehicles,636,159,377986861d395e62ca85003d98baa0e39e9afd3cae49cbede883e9b46f060124
