dataset,clip_id,arm,bytes
VRU,vru_accident:CAP_DATA:VRU_164,fusion_stack,147557
VRU,vru_accident:CAP_DATA:VRU_165,raw_video,1298833
VRU,vru_accident:CAP_DATA:VRU_165,caption_stack,5132
VRU,vru_accident:CAP_DATA:VRU_165,center_frame_stack,30047
VRU,vru_accident:CAP_DATA:VRU_165,visual_4frame_stack,122477
VRU,vru_accident:CAP_DATA:VRU_165,fusion_stack,127609
VRU,vru_accident:CAP_DATA:VRU_166,raw_video,1369778
VRU,vru_accident:CAP_DATA:VRU_166,caption_stack,5013
VRU,vru_accident:CAP_DATA:VRU_166,center_frame_stack,26605
VRU,vru_accident:CAP_DATA:VRU_166,visual_4frame_stack,109928
VRU,vru_accident:CAP_DATA:VRU_166,fusion_stack,114941
VRU,vru_accident:CAP_DATA:VRU_167,raw_video,1131538
VRU,vru_accident:CAP_DATA:VRU_167,caption_stack,5029
VRU,vru_accident:CAP_DATA:VRU_167,center_frame_stack,28084
VRU,vru_accident:CAP_DATA:VRU_167,visual_4frame_stack,112447
VRU,vru_accident:CAP_DATA:VRU_167,fusion_stack,117476
VRU,vru_accident:CAP_DATA:VRU_168,raw_video,1089695
VRU,vru_accident:CAP_DATA:VRU_168,caption_stack,4907
VRU,vru_accident:CAP_DATA:VRU_168,center_frame_stack,25461
VRU,vru_accident:CAP_DATA:VRU_168,visual_4frame_stack,106381
VRU,vru_accident:CAP_DATA:VRU_168,fusion_stack,111288
VRU,vru_accident:CAP_DATA:VRU_169,raw_video,1144550
VRU,vru_accident:CAP_DATA:VRU_169,caption_stack,5000
VRU,vru_accident:CAP_DATA:VRU_169,center_frame_stack,31780
VRU,vru_accident:CAP_DATA:VRU_169,visual_4frame_stack,129945
VRU,vru_accident:CAP_DATA:VRU_169,fusion_stack,134945
VRU,vru_accident:CAP_DATA:VRU_17,raw_video,1646461
VRU,vru_accident:CAP_DATA:VRU_17,caption_stack,5088
VRU,vru_accident:CAP_DATA:VRU_17,center_frame_stack,24761
VRU,vru_accident:CAP_DATA:VRU_17,visual_4frame_stack,104835
VRU,vru_accident:CAP_DATA:VRU_17,fusion_stack,109923
VRU,vru_accident:CAP_DATA:VRU_170,raw_video,1702496
VRU,vru_accident:CAP_DATA:VRU_170,caption_stack,5109
VRU,vru_accident:CAP_DATA:VRU_170,center_frame_stack,26614
VRU,vru_accident:CAP_DATA:VRU_170,visual_4frame_stack,109286
VRU,vru_accident:CAP_DATA:VRU_170,fusion_stack,114395
VRU,vru_accident:CAP_DATA:VRU_171,raw_video,1141407
VRU,vru_accident:CAP_DATA:VRU_171,caption_stack,5019
VRU,vru_accident:CAP_DATA:VRU_171,center_frame_stack,23583
VRU,vru_accident:CAP_DATA:VRU_171,visual_4frame_stack,93706
