family,scoring,candidate,baseline,queries,clusters,mean_delta,query_ci_lo,query_ci_hi,cluster_ci_lo,cluster_ci_hi,p_query,p_cluster,wins,ties,losses,q_query_bh,q_cluster_bh
index,semantic,joint_image_caption__B3_postfilter__ivfflat_np32,joint_image_caption__B3_postfilter__flat,85,25,0.00016956036232586194,0.0,0.00039834833499660937,0.0,0.0003830698644019708,0.0944,0.0846,3,82,0,0.2384842105263158,0.2530909090909091
index,strict,joint_image_caption__B4_prefilter__ivfflat_np32,joint_image_caption__B4_prefilter__flat,85,25,-0.0003321260772025565,-0.002126984362802641,0.0008305894664924813,-0.002039146973915416,0.0008706530393935696,0.8174,0.8344,4,80,1,0.9454265060240964,0.9423811764705883
index,semantic,joint_image_caption__B4_prefilter__ivfflat_np32,joint_image_caption__B4_prefilter__flat,85,25,-0.0003994192779031071,-0.0021351068315114356,0.0006671395752816212,-0.0020523702666588534,0.0007150623627036527,0.7578,0.774,4,80,1,0.852744827586207,0.8540689655172414
index,strict,multi_frame__B2_vector__ivfflat_np32,multi_frame__B2_vector__flat,85,25,-0.0007484798611641376,-0.002245439583492413,0.0,-0.002651563771318151,0.0,0.7124,0.7062,0,84,1,0.9115076923076924,0.9040799999999999
index,semantic,multi_frame__B2_vector__ivfflat_np32,multi_frame__B2_vector__flat,85,25,-0.0015279413135687134,-0.0038353440795420033,0.0,-0.005412882886999426,0.0,0.2608,0.7062,0,83,2,0.4333241379310344,0.8326857142857143
index,strict,multi_frame__B3_postfilter__ivfflat_np32,multi_frame__B3_postfilter__flat,85,25,-0.0033319184477167713,-0.00763453904115335,0.0,-0.007193710508280324,0.0,0.0942,0.075,0,82,3,0.27694545454545455,0.25134545454545454
index,semantic,multi_frame__B3_postfilter__ivfflat_np32,multi_frame__B3_postfilter__flat,85,25,-0.0033319184477167713,-0.00763453904115335,0.0,-0.007193710508280324,0.0,0.0942,0.075,0,82,3,0.2384842105263158,0.2530909090909091
index,strict,multi_frame__B4_prefilter__ivfflat_np32,multi_frame__B4_prefilter__flat,85,25,-0.00374709147696956,-0.008911202109388438,0.0006224916900386889,-0.00892046967434983,0.0009037232595197549,0.0952,0.1456,3,77,5,0.27694545454545455,0.3584
index,semantic,multi_frame__B4_prefilter__ivfflat_np32,multi_frame__B4_prefilter__flat,85,25,-0.0033715682358361177,-0.008182970459442924,0.0007377786973817608,-0.008173380532265365,0.0009168945215474177,0.1056,0.1482,3,77,5,0.25632,0.37267692307692313
index,strict,dual__B2_vector__ivfflat_np32,dual__B2_vector__flat,85,25,-0.001709772848459953,-0.0074051675226678125,0.0034879988559575244,-0.0058199008069316225,0.0015151243839366388,0.5634,0.3198,7,72,6,0.9115076923076924,0.5903999999999999
index,semantic,dual__B2_vector__ivfflat_np32,dual__B2_vector__flat,85,25,-0.008150320297604206,-0.016671587511904642,-0.0001223906903397602,-0.02294656113894995,0.0035758370451605915,0.0464,0.2128,10,55,20,0.1713230769230769,0.4169142857142857
index,strict,dual__B3_postfilter__ivfflat_np32,dual__B3_postfilter__flat,85,25,-0.005491993304592541,-0.01076652692363374,-0.0006849389983250144,-0.009822807792443124,-0.0015404773796106135,0.0264,0.0066,4,70,11,0.16895999999999997,0.04525714285714285
index,semantic,dual__B3_postfilter__ivfflat_np32,dual__B3_postfilter__flat,85,25,-0.005491993304592541,-0.01076652692363374,-0.0006849389983250144,-0.009822807792443124,-0.0015404773796106135,0.0264,0.0066,4,70,11,0.12068571428571427,0.048738461538461536
index,strict,dual__B4_prefilter__ivfflat_np32,dual__B4_prefilter__flat,85,25,-0.009292183212884346,-0.018791225807415633,-0.0006964712800671082,-0.018996618405589947,0.0011506086543127583,0.0326,0.0804,12,56,17,0.17386666666666667,0.25134545454545454
index,semantic,dual__B4_prefilter__ivfflat_np32,dual__B4_prefilter__flat,85,25,-0.00859178063067531,-0.017647939871672333,-0.00039360269658905494,-0.018057342542626958,0.0012699455370735037,0.0396,0.087,12,56,17,0.1584,0.2530909090909091
index,strict,caption__B2_vector__ivfpq6_np8,caption__B2_vector__flat,85,25,0.023338452881081422,0.010885399217661844,0.03729819209064726,0.010815096277073217,0.04117917463325035,0.0,0.0,28,52,5,0.0,0.0
index,semantic,caption__B2_vector__ivfpq6_np8,caption__B2_vector__flat,85,25,0.04394901522733555,0.02485233996384171,0.0642774127988346,0.013417779284430253,0.07589406166224007,0.0,0.0038,50,17,18,0.0,0.03316363636363637
