discordance,ICC,delta,obs_per_cluster,power,DEFF,n_pairs,n_clusters_needed
0.4,0.1,0.03,6,0.9,1.5,6005,1502
0.4,0.1,0.05,2,0.8,1.1,1676,922
0.4,0.1,0.05,2,0.9,1.1,2162,1189
0.4,0.1,0.05,4,0.8,1.3,1676,545
0.4,0.1,0.05,4,0.9,1.3,2162,703
0.4,0.1,0.05,6,0.8,1.5,1676,419
0.4,0.1,0.05,6,0.9,1.5,2162,541
0.4,0.1,0.08,2,0.8,1.1,655,360
0.4,0.1,0.08,2,0.9,1.1,845,465
0.4,0.1,0.08,4,0.8,1.3,655,213
0.4,0.1,0.08,4,0.9,1.3,845,275
0.4,0.1,0.08,6,0.8,1.5,655,164
0.4,0.1,0.08,6,0.9,1.5,845,212
0.4,0.1,0.1,2,0.8,1.1,419,231
0.4,0.1,0.1,2,0.9,1.1,541,298
0.4,0.1,0.1,4,0.8,1.3,419,137
0.4,0.1,0.1,4,0.9,1.3,541,176
0.4,0.1,0.1,6,0.8,1.5,419,105
0.4,0.1,0.1,6,0.9,1.5,541,136
0.4,0.2,0.03,2,0.8,1.2,4653,2792
0.4,0.2,0.03,2,0.9,1.2,6005,3603
0.4,0.2,0.03,4,0.8,1.6,4653,1862
0.4,0.2,0.03,4,0.9,1.6,6005,2402
0.4,0.2,0.03,6,0.8,2.0,4653,1551
0.4,0.2,0.03,6,0.9,2.0,6005,2002
0.4,0.2,0.05,2,0.8,1.2,1676,1006
0.4,0.2,0.05,2,0.9,1.2,2162,1297
0.4,0.2,0.05,4,0.8,1.6,1676,671
0.4,0.2,0.05,4,0.9,1.6,2162,865
0.4,0.2,0.05,6,0.8,2.0,1676,559
0.4,0.2,0.05,6,0.9,2.0,2162,721
0.4,0.2,0.08,2,0.8,1.2,655,393
0.4,0.2,0.08,2,0.9,1.2,845,507
0.4,0.2,0.08,4,0.8,1.6,655,262
0.4,0.2,0.08,4,0.9,1.6,845,338
0.4,0.2,0.08,6,0.8,2.0,655,219
0.4,0.2,0.08,6,0.9,2.0,845,282
0.4,0.2,0.1,2,0.8,1.2,419,252
0.4,0.2,0.1,2,0.9,1.2,541,325
0.4,0.2,0.1,4,0.8,1.6,419,168
0.4,0.2,0.1,4,0.9,1.6,541,217
0.4,0.2,0.1,6,0.8,2.0,419,140
0.4,0.2,0.1,6,0.9,2.0,541,181
0.4,0.3,0.03,2,0.8,1.3,4653,3025
